timestamp,air_temperature,humidity,co2_level,light_intensity,soil_moisture,soil_ph,soil_temperature,ec_conductivity,nitrogen,phosphorus,potassium,vpd,light_hours,ventilation_rate,outside_temperature,outside_humidity,wind_speed,crop_type,growth_stage,leaf_wetness_hours,previous_irrigation_mm,health_score,health_category,disease_risk_score,disease_risk_level,irrigation_need
2025-06-01 02:26:02,26.67,56.12,846.28,15294.66,44.74,6.12,23.26,1.18,171.47,32.49,186.84,1.5344,13.42,33.71,43.11,37.72,2.76,Herbs,Seedling,2.38,32.75,88.2,Excellent,25.8,Low,Low
2025-06-01 03:25:14,29.32,67.88,986.15,14627.58,49.32,6.25,24.54,1.99,175.54,35.96,181.95,1.3107,13.42,44.56,37.53,44.05,4.39,Chili,Seedling,2.18,41.11,83.3,Excellent,25.4,Low,Low
2025-06-01 04:48:21,28.58,59.28,862.74,12655.1,44.52,6.09,23.0,1.22,174.81,30.73,180.63,1.5923,13.42,34.8,41.5,40.24,3.11,Herbs,Seedling,2.27,30.13,82.4,Excellent,30.5,Low,Medium
2025-06-01 06:43:28,29.84,67.97,972.97,13684.14,48.99,6.25,24.67,2.02,175.73,37.17,172.56,1.3465,13.42,41.32,38.84,44.66,3.38,Chili,Seedling,2.43,37.82,85.8,Excellent,30.5,Low,Low
2025-06-01 07:23:45,29.76,60.02,858.11,12107.71,44.19,6.1,22.85,1.29,179.72,32.87,172.45,1.6729,13.42,34.55,41.27,40.17,3.92,Herbs,Seedling,3.42,27.72,81.9,Excellent,33.5,Low,Low
2025-06-01 14:08:54,30.93,68.56,955.34,14342.1,48.82,6.28,24.68,1.96,176.79,36.27,177.07,1.4072,13.42,42.81,39.84,48.09,4.24,Chili,Seedling,1.96,34.8,85.3,Excellent,17.8,Low,Low
2025-06-01 18:45:00,30.67,62.53,809.39,10803.11,43.97,6.07,23.24,1.24,175.03,33.79,167.97,1.6519,13.42,32.64,40.51,38.73,4.88,Herbs,Seedling,2.08,25.5,83.5,Excellent,26.3,Low,Medium
2025-06-01 21:54:01,33.12,61.93,795.72,9352.61,43.75,6.08,23.22,,180.61,,169.23,1.928,13.42,30.1,39.74,42.46,7.43,Herbs,Seedling,2.6,23.46,,,,,
2025-06-02 00:01:10,30.71,68.9,922.52,11926.5,48.52,6.31,24.68,1.87,179.53,37.29,184.85,1.3738,13.43,39.51,38.49,43.34,5.66,Chili,Seedling,1.73,32.01,87.9,Excellent,22.2,Low,Low
2025-06-02 01:26:03,34.61,64.74,875.4,7948.65,43.45,6.14,22.95,1.28,180.96,28.87,172.52,1.9405,13.43,26.97,41.27,44.7,7.5,Herbs,Seedling,2.35,21.58,72.4,Good,24.1,Low,Low
2025-06-02 02:07:36,28.31,56.96,879.99,19164.44,45.47,6.51,23.42,1.95,229.62,35.45,144.89,1.656,13.43,30.24,43.54,31.78,10.52,Lettuce,Seedling,2.69,56.79,88.4,Excellent,27.4,Low,Low
2025-06-02 02:11:44,30.09,71.22,909.55,9647.28,48.23,6.34,24.85,1.89,183.47,40.21,182.61,1.2271,13.43,36.44,38.88,49.18,5.69,Chili,Seedling,1.9,29.45,76.7,Good,27.2,Low,Low
2025-06-02 03:51:02,34.19,65.44,816.04,6618.54,43.26,6.16,23.19,1.17,183.27,31.84,176.3,1.8579,13.43,25.19,42.67,44.77,6.69,Herbs,Seedling,2.56,19.86,81.7,Excellent,21.5,Low,Medium
2025-06-02 05:57:09,30.64,58.32,875.82,15734.99,45.3,6.55,23.61,1.91,221.55,37.52,153.76,1.8346,13.43,29.45,43.0,30.29,11.97,Lettuce,Seedling,2.99,52.25,95.7,Excellent,28.3,Low,Low
2025-06-02 05:57:32,31.22,72.42,892.56,9389.5,47.89,6.35,24.74,1.9,179.01,39.01,181.05,1.2548,13.43,35.23,39.17,51.28,5.13,Chili,Seedling,1.62,27.1,77.0,Good,26.8,Low,Low
2025-06-02 07:35:50,35.51,65.85,831.01,6420.45,43.01,6.18,23.54,1.09,178.26,30.02,173.66,1.9752,13.43,29.36,42.5,43.54,8.47,Herbs,Seedling,2.44,18.27,77.0,Good,22.7,Low,Medium
2025-06-02 08:18:45,32.0,70.29,907.5,8871.78,47.72,6.36,25.16,1.73,177.92,37.12,177.59,1.4123,13.43,37.54,39.27,54.38,7.59,Chili,Seedling,2.23,24.93,75.6,Good,30.6,Low,Low
2025-06-02 09:04:31,31.45,57.33,858.56,15779.2,45.13,6.54,23.53,1.87,227.93,39.18,155.69,1.9664,13.43,33.62,37.17,30.02,11.53,Lettuce,Seedling,2.73,48.07,86.4,Excellent,17.3,Low,Low
2025-06-02 10:58:39,,65.05,773.18,8450.6,42.8,6.18,24.21,1.23,181.61,32.37,179.1,2.1975,13.43,30.68,42.08,46.77,8.13,Herbs,Seedling,2.5,16.81,,,,,
2025-06-02 11:45:19,32.49,58.17,915.15,17460.1,44.96,6.58,23.68,1.74,220.25,36.85,155.25,2.0452,13.43,37.29,38.82,28.32,11.17,Lettuce,Seedling,2.98,44.22,86.3,Excellent,20.4,Low,Medium
2025-06-02 11:46:15,33.28,67.08,875.29,13869.39,47.61,6.37,25.45,2.0,173.88,34.89,178.76,1.6819,13.43,37.92,41.76,48.52,8.5,Chili,Seedling,2.98,22.93,76.6,Good,23.8,Low,Low
2025-06-02 14:07:14,33.99,53.97,888.97,18058.18,44.73,6.56,23.66,1.72,223.9,35.7,164.12,2.4479,13.43,38.75,38.73,32.05,10.63,Lettuce,Seedling,3.17,40.69,85.0,Excellent,23.4,Low,Medium
2025-06-02 14:39:41,35.84,67.36,883.63,14395.18,47.28,6.39,25.39,1.96,182.52,35.0,177.54,1.9219,13.43,38.19,43.48,49.05,9.89,Chili,Seedling,2.67,21.1,79.0,Good,24.9,Low,Low
2025-06-02 14:56:37,38.11,65.09,765.46,10715.26,42.64,6.2,24.95,1.19,182.5,34.63,184.98,2.327,13.43,35.41,40.47,46.03,8.74,Herbs,Seedling,2.61,15.46,77.4,Good,23.6,Low,Medium
2025-06-02 16:39:31,33.8,56.1,859.76,16633.24,44.5,6.53,24.21,1.68,223.03,35.03,167.43,2.3093,13.43,40.95,37.57,34.22,8.59,Lettuce,Seedling,2.48,37.43,79.6,Good,23.0,Low,Low
2025-06-02 18:19:07,37.88,66.52,768.89,9835.37,42.35,6.21,25.18,1.3,179.85,36.51,188.75,2.2042,13.43,36.31,40.94,46.66,11.06,Herbs,Seedling,3.25,14.22,64.8,Moderate,24.5,Low,Low
2025-06-02 18:35:07,37.12,65.43,927.06,13382.29,47.11,6.38,25.83,1.92,177.53,31.23,180.7,2.1836,13.43,35.89,42.61,44.61,10.65,Chili,Seedling,2.6,19.41,75.6,Good,15.3,Low,Low
2025-06-02 18:41:32,34.89,57.58,862.17,13006.65,44.21,6.54,24.25,1.74,226.4,36.46,168.81,2.37,13.43,38.77,39.33,40.46,7.98,Lettuce,Seedling,1.85,34.44,80.0,Good,17.0,Low,Medium
2025-06-02 20:22:43,39.38,67.33,749.93,8330.62,42.24,6.24,25.69,1.35,180.89,37.42,184.69,2.3309,13.43,34.94,40.43,42.22,11.97,Herbs,Seedling,3.56,13.09,64.2,Moderate,21.9,Low,Medium
2025-06-02 20:58:04,37.54,63.46,896.38,9582.48,46.85,6.44,26.15,1.99,176.19,34.42,181.4,2.3618,13.43,36.73,41.25,45.98,10.31,Chili,Seedling,2.14,17.86,75.0,Good,19.8,Low,Medium
2025-06-02 21:52:26,37.05,61.1,854.74,9911.77,43.86,6.54,24.86,1.81,226.77,37.49,167.87,2.4485,13.43,36.76,39.55,39.17,7.73,Lettuce,Seedling,1.56,31.68,73.2,Good,14.4,Low,Medium
2025-06-02 23:12:17,39.02,66.72,902.2,8465.19,46.6,6.44,26.67,2.01,182.04,36.61,177.58,2.3286,13.43,36.94,41.82,43.84,11.24,Chili,Seedling,2.17,16.43,71.2,Good,11.1,Low,Medium
2025-06-02 23:22:12,40.68,68.45,725.24,7219.09,42.12,6.25,25.93,1.47,179.85,39.04,184.67,2.4128,13.43,34.27,40.57,37.92,11.99,Herbs,Seedling,4.1,12.04,64.6,Moderate,27.2,Low,Medium
2025-06-03 01:52:12,36.36,64.27,875.9,8918.7,44.94,6.56,24.65,1.7,220.28,36.31,169.17,2.1653,13.43,34.91,37.48,44.29,8.25,Lettuce,Seedling,0.95,29.15,66.1,Moderate,21.2,Low,Medium
2025-06-03 01:53:09,38.72,68.24,914.36,6954.37,46.37,6.47,26.32,1.96,185.52,37.6,174.75,2.1871,13.43,36.55,37.76,44.93,11.36,Chili,Seedling,1.46,15.12,77.1,Good,13.1,Low,Medium
2025-06-03 02:56:35,41.21,69.34,750.21,6958.49,41.84,6.24,26.69,1.31,179.21,36.44,182.01,2.4112,13.43,37.17,38.62,38.81,12.0,Herbs,Seedling,3.28,11.08,68.2,Moderate,28.5,Low,Low
2025-06-03 03:32:03,26.23,64.31,897.62,13907.23,41.86,5.73,20.56,2.01,170.68,42.94,221.76,1.2157,13.43,41.03,41.41,31.62,4.32,Cucumber,Seedling,1.21,27.77,92.6,Excellent,28.5,Low,Low
2025-06-03 05:11:41,36.64,63.3,857.4,7231.24,45.62,6.57,25.12,1.8,219.19,35.68,166.23,2.2587,13.43,34.7,39.73,48.17,9.93,Lettuce,Seedling,1.35,26.82,74.5,Good,16.2,Low,Low
2025-06-03 05:16:28,38.74,66.06,840.22,5807.88,46.18,6.47,26.49,1.97,177.62,37.54,175.35,2.3397,13.43,36.62,37.77,46.56,11.87,Chili,Seedling,0.0,13.91,75.0,Good,13.2,Low,Low
2025-06-03 05:21:34,41.46,70.88,770.51,6237.54,41.75,6.22,27.01,1.48,187.69,37.73,179.51,2.3209,13.43,35.22,37.98,39.68,11.56,Herbs,Vegetative,3.54,10.19,58.5,Fair,32.4,Low,Medium
2025-06-03 05:59:56,27.67,64.49,901.13,12555.15,41.7,5.78,20.93,2.05,165.17,44.66,208.31,1.3171,13.43,36.18,40.16,35.1,5.19,Cucumber,Seedling,0.17,25.55,93.6,Excellent,36.8,Low,Low
2025-06-03 07:32:04,38.79,63.82,817.4,4716.45,45.89,6.47,26.49,2.04,178.27,37.81,176.7,2.5,13.43,34.91,38.04,42.65,10.25,Chili,Seedling,0.0,12.79,75.3,Good,17.0,Low,Medium
2025-06-03 08:30:10,30.58,64.31,900.15,12064.99,41.36,5.76,20.96,2.06,165.92,46.38,205.17,1.5656,13.43,31.7,38.63,32.72,4.23,Cucumber,Seedling,0.32,23.51,84.5,Excellent,17.2,Low,Medium
2025-06-03 08:52:25,36.69,63.74,836.53,6337.18,46.07,6.59,25.23,1.73,221.79,40.45,170.51,2.2378,13.43,39.87,41.54,56.41,13.8,Lettuce,Seedling,1.37,24.67,76.6,Good,22.4,Low,Low
2025-06-03 09:16:11,42.35,68.48,766.12,6979.48,41.5,6.21,27.21,1.55,181.27,39.89,186.37,2.5,13.43,37.16,39.41,44.24,12.06,Herbs,Vegetative,4.11,9.38,65.8,Moderate,29.6,Low,Medium
2025-06-03 09:37:38,38.41,66.79,813.33,6972.81,45.69,6.49,26.97,2.03,178.02,39.31,174.61,2.2495,13.43,41.61,39.79,41.35,9.73,Chili,Seedling,0.74,11.77,72.1,Good,6.7,Low,Medium
2025-06-03 12:16:12,41.13,72.11,749.7,10922.08,41.35,6.22,27.81,1.63,185.57,42.16,188.18,2.1847,13.43,39.26,41.64,43.61,10.04,Herbs,Vegetative,4.32,8.63,66.6,Moderate,26.6,Low,Medium
2025-06-03 12:42:48,39.17,61.74,794.25,11500.53,45.55,6.47,27.29,2.1,178.3,39.57,173.25,2.5,13.43,41.29,38.21,41.39,9.2,Chili,Seedling,1.07,10.83,77.7,Good,17.8,Low,Medium
2025-06-03 12:44:11,35.6,66.09,813.54,6371.02,46.68,6.57,26.28,1.82,222.32,37.93,166.69,1.9704,13.43,39.71,42.23,56.27,16.94,Lettuce,Seedling,1.34,22.7,77.0,Good,23.6,Low,Medium
2025-06-03 15:29:09,41.71,75.29,774.62,10687.43,42.11,6.22,27.55,1.58,188.62,45.45,186.27,1.995,13.43,36.68,37.59,48.63,12.49,Herbs,Vegetative,3.73,7.94,70.2,Good,39.0,Low,Medium
2025-06-03 15:59:08,35.23,68.07,798.95,6719.73,47.46,6.62,26.53,1.68,211.15,36.99,167.87,1.8184,13.43,40.0,41.88,57.11,15.7,Lettuce,Seedling,1.3,20.88,68.3,Moderate,20.2,Low,Low
2025-06-03 16:40:48,38.23,57.11,821.12,12268.51,45.27,6.48,27.55,1.99,185.37,40.12,168.72,2.5,13.43,43.32,38.05,44.83,8.25,Chili,Seedling,0.81,9.96,76.1,Good,14.6,Low,Medium
2025-06-03 19:00:31,41.94,76.61,784.86,7407.93,42.47,6.21,27.99,1.66,189.65,46.13,185.6,1.912,13.43,32.75,37.51,49.52,11.96,Herbs,Vegetative,3.55,7.3,69.4,Moderate,37.9,Low,Medium
